id,value
Johnny,
Johnny.language,
Johnny.language.English,
Johnny.language.English.Lingvist背單字,1
Johnny.language.English.文法,2
Johnny.language.Japanese,
Johnny.language.Japanese.文法,3
Johnny.photography,
Johnny.photography.shutterstock,1
Johnny.data,
Johnny.data.converters,
Johnny.data.converters.Converters,721
Johnny.data.converters.DelimitedTextConverter,4294
Johnny.data.converters.GraphMLConverter,9800
Johnny.data.converters.IDataConverter,1314
Johnny.data.converters.JSONConverter,2220
Johnny.data.DataField,1759
Johnny.data.DataSchema,2165
Johnny.data.DataSet,586
Johnny.data.DataSource,3331
Johnny.data.DataTable,772
Johnny.data.DataUtil,3322
Johnny.display,
Johnny.display.DirtySprite,8833
Johnny.display.LineSprite,1732
Johnny.display.RectSprite,3623
Johnny.display.TextSprite,10066
Johnny.flex,
Johnny.flex.FlareVis,4116
Johnny.physics,
Johnny.physics.DragForce,1082
Johnny.physics.GravityForce,1336
Johnny.physics.IForce,319
Johnny.physics.NBodyForce,10498
Johnny.physics.Particle,2822
Johnny.physics.Simulation,9983
Johnny.physics.Spring,2213
Johnny.physics.SpringForce,1681
Johnny.query,
Johnny.query.AggregateExpression,1616
Johnny.query.And,1027
Johnny.query.Arithmetic,3891
Johnny.query.Average,891
Johnny.query.BinaryExpression,2893
Johnny.query.Comparison,5103
Johnny.query.CompositeExpression,3677
Johnny.query.Count,781
Johnny.query.DateUtil,4141
Johnny.query.Distinct,933
Johnny.query.Expression,5130
Johnny.query.ExpressionIterator,3617
Johnny.query.Fn,3240
Johnny.query.If,2732
Johnny.query.IsA,2039
Johnny.query.Literal,1214
Johnny.query.Match,3748
Johnny.query.Maximum,843
Johnny.query.methods,
Johnny.query.methods.add,593
Johnny.query.methods.and,330
Johnny.query.methods.average,287
Johnny.query.methods.count,277
Johnny.query.methods.distinct,292
Johnny.query.methods.div,595
Johnny.query.methods.eq,594
Johnny.query.methods.fn,460
Johnny.query.methods.gt,603
Johnny.query.methods.gte,625
Johnny.query.methods.iff,748
Johnny.query.methods.isa,461
Johnny.query.methods.lt,597
Johnny.query.methods.lte,619
Johnny.query.methods.max,283
Johnny.query.methods.min,283
Johnny.query.methods.mod,591
Johnny.query.methods.mul,603
Johnny.query.methods.neq,599
Johnny.query.methods.not,386
Johnny.query.methods.or,323
Johnny.query.methods.orderby,307
Johnny.query.methods.range,772
Johnny.query.methods.select,296
Johnny.query.methods.stddev,363
Johnny.query.methods.sub,600
Johnny.query.methods.sum,280
Johnny.query.methods.update,307
Johnny.query.methods.variance,335
Johnny.query.methods.where,299
Johnny.query.methods.xor,354
Johnny.query.methods._,264
Johnny.query.Minimum,843
Johnny.query.Not,1554
Johnny.query.Or,970
Johnny.query.Query,13896
Johnny.query.Range,1594
Johnny.query.StringUtil,4130
Johnny.query.Sum,791
Johnny.query.Variable,1124
Johnny.query.Variance,1876
Johnny.query.Xor,1101
Johnny.scale,
Johnny.scale.IScaleMap,2105
Johnny.scale.LinearScale,1316
Johnny.scale.LogScale,3151
Johnny.scale.OrdinalScale,3770
Johnny.scale.QuantileScale,2435
Johnny.scale.QuantitativeScale,4839
Johnny.scale.RootScale,1756
Johnny.scale.Scale,4268
Johnny.scale.ScaleType,1821
Johnny.scale.TimeScale,5833
Johnny.util,
Johnny.util.Arrays,8258
Johnny.util.Colors,10001
Johnny.util.Dates,8217
Johnny.util.Displays,12555
Johnny.util.Filter,2324
Johnny.util.Geometry,10993
Johnny.util.heap,
Johnny.util.heap.FibonacciHeap,9354
Johnny.util.heap.HeapNode,1233
Johnny.util.IEvaluable,335
Johnny.util.IPredicate,383
Johnny.util.IValueProxy,874
Johnny.util.math,
Johnny.util.math.DenseMatrix,3165
Johnny.util.math.IMatrix,2815
Johnny.util.math.SparseMatrix,3366
Johnny.util.Maths,17705
Johnny.util.Orientation,1486
Johnny.util.palette,
Johnny.util.palette.ColorPalette,6367
Johnny.util.palette.Palette,1229
Johnny.util.palette.ShapePalette,2059
Johnny.util.palette.SizePalette,2291
Johnny.util.Property,5559
Johnny.util.Shapes,19118
Johnny.util.Sort,6887
Johnny.util.Stats,6557
Johnny.util.Strings,22026
Johnny.vis,
Johnny.vis.axis,
Johnny.vis.axis.Axes,1302
Johnny.vis.axis.Axis,24593
Johnny.vis.axis.AxisGridLine,652
Johnny.vis.axis.AxisLabel,636
Johnny.vis.axis.CartesianAxes,6703
Johnny.vis.controls,
Johnny.vis.controls.AnchorControl,2138
Johnny.vis.controls.ClickControl,3824
Johnny.vis.controls.Control,1353
Johnny.vis.controls.ControlList,4665
Johnny.vis.controls.DragControl,2649
Johnny.vis.controls.ExpandControl,2832
Johnny.vis.controls.HoverControl,4896
Johnny.vis.controls.IControl,763
Johnny.vis.controls.PanZoomControl,5222
Johnny.vis.controls.SelectionControl,7862
Johnny.vis.controls.TooltipControl,8435
Johnny.vis.data,
Johnny.vis.data.Data,20544
Johnny.vis.data.DataList,19788
Johnny.vis.data.DataSprite,10349
Johnny.vis.data.EdgeSprite,3301
Johnny.vis.data.NodeSprite,19382
Johnny.vis.data.render,
Johnny.vis.data.render.ArrowType,698
Johnny.vis.data.render.EdgeRenderer,5569
Johnny.vis.data.render.IRenderer,353
Johnny.vis.data.render.ShapeRenderer,2247
Johnny.vis.data.ScaleBinding,11275
Johnny.vis.data.Tree,7147
Johnny.vis.data.TreeBuilder,9930
Johnny.vis.events,
Johnny.vis.events.DataEvent,2313
Johnny.vis.events.SelectionEvent,1880
Johnny.vis.events.TooltipEvent,1701
Johnny.vis.events.VisualizationEvent,1117
Johnny.vis.legend,
Johnny.vis.legend.Legend,20859
Johnny.vis.legend.LegendItem,4614
Johnny.vis.legend.LegendRange,10530
Johnny.vis.operator,
Johnny.vis.operator.distortion,
Johnny.vis.operator.distortion.BifocalDistortion,4461
Johnny.vis.operator.distortion.Distortion,6314
Johnny.vis.operator.distortion.FisheyeDistortion,3444
Johnny.vis.operator.encoder,
Johnny.vis.operator.encoder.ColorEncoder,3179
Johnny.vis.operator.encoder.Encoder,4060
Johnny.vis.operator.encoder.PropertyEncoder,4138
Johnny.vis.operator.encoder.ShapeEncoder,1690
Johnny.vis.operator.encoder.SizeEncoder,1830
Johnny.vis.operator.filter,
Johnny.vis.operator.filter.FisheyeTreeFilter,5219
Johnny.vis.operator.filter.GraphDistanceFilter,3165
Johnny.vis.operator.filter.VisibilityFilter,3509
Johnny.vis.operator.IOperator,1286
Johnny.vis.operator.label,
Johnny.vis.operator.label.Labeler,9956
Johnny.vis.operator.label.RadialLabeler,3899
Johnny.vis.operator.label.StackedAreaLabeler,3202
Johnny.vis.operator.layout,
Johnny.vis.operator.layout.AxisLayout,6725
Johnny.vis.operator.layout.BundledEdgeRouter,3727
Johnny.vis.operator.layout.CircleLayout,9317
Johnny.vis.operator.layout.CirclePackingLayout,12003
Johnny.vis.operator.layout.DendrogramLayout,4853
Johnny.vis.operator.layout.ForceDirectedLayout,8411
Johnny.vis.operator.layout.IcicleTreeLayout,4864
Johnny.vis.operator.layout.IndentedTreeLayout,3174
Johnny.vis.operator.layout.Layout,7881
Johnny.vis.operator.layout.NodeLinkTreeLayout,12870
Johnny.vis.operator.layout.PieLayout,2728
Johnny.vis.operator.layout.RadialTreeLayout,12348
Johnny.vis.operator.layout.RandomLayout,870
Johnny.vis.operator.layout.StackedAreaLayout,9121
Johnny.vis.operator.layout.TreeMapLayout,9191
Johnny.vis.operator.Operator,2490
Johnny.vis.operator.OperatorList,5248
Johnny.vis.operator.OperatorSequence,4190
Johnny.vis.operator.OperatorSwitch,2581
Johnny.vis.operator.SortOperator,2023
Johnny.vis.Visualization,16540
